date,BTC-USD,SPY
2022-01-01,47686.8125,
2022-01-02,47345.2188,
2022-01-03,46458.1172,448.373
2022-01-04,45897.5742,448.2229
2022-01-05,43569.0039,439.6161
2022-01-06,43160.9297,439.203
2022-01-07,41557.9023,437.4667
2022-01-08,41733.9414,
2022-01-09,41911.6016,
2022-01-10,41821.2617,436.9223
2022-01-11,42735.8555,440.9019
2022-01-12,43949.1016,442.0938
2022-01-13,42591.5703,436.0025
2022-01-14,43099.6992,436.1808
2022-01-15,43177.3984,
2022-01-16,43113.8789,
2022-01-17,42250.5508,
2022-01-18,42375.6328,428.4562
2022-01-19,41744.3281,424.0074
2022-01-20,40680.418,419.3144
2022-01-21,36457.3164,411.0829
2022-01-22,35030.25,
2022-01-23,36276.8047,
2022-01-24,36654.3281,412.8287
2022-01-25,36954.0039,407.7884
2022-01-26,36852.1211,406.7655
2022-01-27,37138.2344,404.7569
2022-01-28,37784.332,414.8091
2022-01-29,38138.1797,
2022-01-30,37917.6016,
2022-01-31,38483.125,422.2803
2022-02-01,38743.2734,425.1335
2022-02-02,36952.9844,429.2634
2022-02-03,37154.6016,419.1735
2022-02-04,41500.875,421.1446
2022-02-05,41441.1641,
2022-02-06,42412.4336,
2022-02-07,43840.2852,419.793
2022-02-08,44118.4453,423.247
2022-02-09,44338.7969,429.4418
2022-02-10,43565.1133,421.7265
2022-02-11,42407.9375,413.4106
2022-02-12,42244.4688,
2022-02-13,42197.5156,
2022-02-14,42586.918,412.0591
2022-02-15,44575.2031,418.7043
2022-02-16,43961.8594,419.1735
2022-02-17,40538.0117,410.2194
2022-02-18,40030.9766,407.5632
2022-02-19,40122.1562,
2022-02-20,38431.3789,
2022-02-21,37075.2812,
2022-02-22,38286.0273,403.1895
2022-02-23,37296.5703,396.0374
2022-02-24,38332.6094,401.9974
2022-02-25,39214.2188,410.8671
2022-02-26,39105.1484,
2022-02-27,37709.7852,
2022-02-28,43193.2344,409.8159
2022-03-01,44354.6367,403.5742
2022-03-02,43924.1172,410.9984
2022-03-03,42451.7891,408.9523
2022-03-04,39137.6055,405.6298
2022-03-05,39400.5859,
2022-03-06,38419.9844,
2022-03-07,38062.0391,393.6721
2022-03-08,38737.2695,390.6873
2022-03-09,41982.9258,401.1621
2022-03-10,39437.4609,399.3506
2022-03-11,38794.9727,394.2728
2022-03-12,38904.0117,
2022-03-13,37849.6641,
2022-03-14,39666.7539,391.3913
2022-03-15,39338.7852,399.9983
2022-03-16,41143.9297,408.8679
2022-03-17,40951.3789,413.9832
2022-03-18,41801.1562,418.5174
2022-03-19,42190.6523,
2022-03-20,41247.8242,
2022-03-21,41077.9961,418.3951
2022-03-22,42358.8086,423.2909
2022-03-23,42892.957,417.8395
2022-03-24,43960.9336,424.1382
2022-03-25,44348.7305,426.2095
2022-03-26,44500.8281,
2022-03-27,46820.4922,
2022-03-28,47128.0039,429.2411
2022-03-29,47465.7305,434.5513
2022-03-30,47062.6641,431.8681
2022-03-31,45538.6758,425.221
2022-04-01,46281.6445,426.4261
2022-04-02,45868.9492,
2022-04-03,46453.5664,
2022-04-04,46622.6758,430.0791
2022-04-05,45555.9922,424.6467
2022-04-06,43206.7383,420.4005
2022-04-07,43503.8477,422.5188
2022-04-08,42287.6641,421.3891
2022-04-09,42782.1367,
2022-04-10,42207.6719,
2022-04-11,39521.9023,414.1866
2022-04-12,40127.1836,412.6519
2022-04-13,41166.7305,417.3783
2022-04-14,39935.5156,412.1811
2022-04-15,40553.4648,
2022-04-16,40424.4844,
2022-04-17,39716.9531,
2022-04-18,40826.2148,412.3505
2022-04-19,41502.75,419.007
2022-04-20,41374.3789,418.6963
2022-04-21,40527.3633,412.4353
2022-04-22,39740.3203,401.1185
2022-04-23,39486.7305,
2022-04-24,39469.293,
2022-04-25,40458.3086,403.4439
